country,food_category,consumption,co2_emission
Ireland,wheat,107.98,20.59
Ireland,rice,3.0,3.84
Ireland,soybeans,0.25,0.11
Ireland,nuts,4.1,7.26
Greece,pork,28.31,100.2
Greece,poultry,15.74,16.91
Greece,beef,16.1,496.81
Greece,lamb_goat,12.47,436.7
Greece,fish,14.42,23.02
Greece,eggs,10.13,9.31
Greece,dairy,255.26,363.59
Greece,wheat,124.04,23.65
Greece,rice,6.64,8.5
Greece,soybeans,0.02,0.01
Greece,nuts,10.5,18.59
France,pork,33.05,116.98
France,poultry,22.93,24.63
France,beef,23.81,734.73
France,lamb_goat,3.28,114.87
France,fish,22.91,36.58
France,eggs,13.13,12.06
France,dairy,241.31,343.72
France,wheat,108.43,20.68
France,rice,4.88,6.24
France,soybeans,0.05,0.02
France,nuts,5.39,9.54
Canada,pork,22.81,80.74
Canada,poultry,36.68,39.4
Canada,beef,30.25,933.45
Canada,lamb_goat,0.97,33.97
Canada,fish,14.56,23.25
Canada,eggs,12.95,11.9
Canada,dairy,187.77,267.46
Canada,wheat,84.96,16.2
Canada,rice,12.65,16.19
Canada,soybeans,0.94,0.42
Canada,nuts,8.01,14.18
Norway,pork,23.51,83.21
Norway,poultry,21.01,22.57
Norway,beef,19.83,611.91
Norway,lamb_goat,5.34,187.01
Norway,fish,38.18,60.96
Norway,eggs,11.41,10.48
Norway,dairy,261.34,372.25
Norway,wheat,97.12,18.52
Norway,rice,4.36,5.58
Norway,soybeans,0.11,0.05
Norway,nuts,5.28,9.35
Hong Kong SAR. China,pork,67.11,237.54
Hong Kong SAR. China,poultry,54.86,58.93
Hong Kong SAR. China,beef,25.82,796.75
Hong Kong SAR. China,lamb_goat,2.22,77.74
Hong Kong SAR. China,fish,42.44,67.76
Hong Kong SAR. China,eggs,14.5,13.32
Hong Kong SAR. China,dairy,105.85,150.77
Hong Kong SAR. China,wheat,53.14,10.13
Hong Kong SAR. China,rice,43.48,55.64
Hong Kong SAR. China,soybeans,2.79,1.26
Hong Kong SAR. China,nuts,13.81,24.44
French Polynesia,pork,14.75,52.21
French Polynesia,poultry,49.55,53.23
French Polynesia,beef,30.9,953.51
French Polynesia,lamb_goat,2.83,99.11
French Polynesia,fish,38.95,62.19
French Polynesia,eggs,8.75,8.04
French Polynesia,dairy,93.56,133.27
French Polynesia,wheat,68.67,13.1
French Polynesia,rice,35.59,45.54
French Polynesia,soybeans,0.77,0.35
French Polynesia,nuts,2.34,4.14
Israel,pork,1.99,7.04
Israel,poultry,62.5,67.14
Israel,beef,28.78,888.09
Israel,lamb_goat,1.87,65.49
Israel,fish,22.18,35.41
Israel,eggs,11.35,10.43
Israel,dairy,193.6,275.76
Israel,wheat,110.86,21.14
Israel,rice,16.81,21.51
Israel,soybeans,0.1,0.05
Israel,nuts,7.71,13.65
Switzerland,pork,31.49,111.46
Switzerland,poultry,16.38,17.6
Switzerland,beef,21.26,656.04
Switzerland,lamb_goat,1.42,49.73
Switzerland,fish,13.48,21.52
Switzerland,eggs,10.53,9.67
Switzerland,dairy,318.69,453.94
Switzerland,wheat,89.51,17.07
Switzerland,rice,2.43,3.11
Switzerland,soybeans,0.44,0.2
Switzerland,nuts,9.27,16.41
Netherlands,pork,36.36,128.7
Netherlands,poultry,23.9,25.67
Netherlands,beef,17.67,545.26
Netherlands,lamb_goat,0.94,32.92
Netherlands,fish,18.64,29.76
Netherlands,eggs,14.03,12.89
Netherlands,dairy,341.47,486.39
Netherlands,wheat,70.17,13.38
Netherlands,rice,2.93,3.75
Netherlands,soybeans,0.12,0.05
Netherlands,nuts,7.94,14.05
Kuwait,pork,0.0,0.0
Kuwait,poultry,53.61,57.59
Kuwait,beef,13.03,402.08
Kuwait,lamb_goat,15.61,546.66
Kuwait,fish,11.99,19.14
Kuwait,eggs,12.6,11.57
Kuwait,dairy,157.66,224.57
Kuwait,wheat,96.76,18.45
Kuwait,rice,43.83,56.09
Kuwait,soybeans,0.06,0.03
Kuwait,nuts,5.23,9.26
United Kingdom,pork,25.79,91.28
United Kingdom,poultry,31.55,33.89
United Kingdom,beef,18.12,559.15
United Kingdom,lamb_goat,4.49,157.24
United Kingdom,fish,15.49,24.73
United Kingdom,eggs,11.08,10.18
United Kingdom,dairy,232.2,330.75
United Kingdom,wheat,98.63,18.81
United Kingdom,rice,6.39,8.18
United Kingdom,soybeans,0.05,0.02
United Kingdom,nuts,4.18,7.4
Austria,pork,52.56,186.04
Austria,poultry,18.61,19.99
Austria,beef,17.14,528.9
Austria,lamb_goat,1.16,40.62
Austria,fish,12.16,19.42
Austria,eggs,14.68,13.49
Austria,dairy,258.09,367.62
Austria,wheat,81.1,15.47
Austria,rice,3.7,4.73
Austria,soybeans,2.06,0.93
Austria,nuts,7.88,13.95
Oman,pork,0.01,0.04
Oman,poultry,31.51,33.85
Oman,beef,15.1,465.95
Oman,lamb_goat,12.87,450.71
Oman,fish,21.56,34.42
Oman,eggs,7.8,7.17
Oman,dairy,152.28,216.91
Oman,wheat,64.1,12.22
Oman,rice,56.55,72.37
Oman,soybeans,0.21,0.09
Oman,nuts,1.68,2.97
Italy,pork,40.28,142.57
Italy,poultry,18.61,19.99
Italy,beef,18.6,573.96
Italy,lamb_goat,0.92,32.22
Italy,fish,15.6,24.91
Italy,eggs,13.34,12.25
Italy,dairy,246.88,351.66
Italy,wheat,146.37,27.91
Italy,rice,5.74,7.35
Italy,soybeans,0.01,0.0
Italy,nuts,7.63,13.51
Bahamas,pork,32.74,115.88
Bahamas,poultry,45.74,49.13
Bahamas,beef,19.92,614.69
Bahamas,lamb_goat,5.22,182.8
Bahamas,fish,18.8,30.02
Bahamas,eggs,6.2,5.7
Bahamas,dairy,104.76,149.22
Bahamas,wheat,39.98,7.62
Bahamas,rice,23.97,30.67
Bahamas,soybeans,0.09,0.04
Bahamas,nuts,4.03,7.13
Portugal,pork,37.91,134.18
Portugal,poultry,30.14,32.38
Portugal,beef,16.45,507.61
Portugal,lamb_goat,2.38,83.35
Portugal,fish,45.39,72.47
Portugal,eggs,9.05,8.31
Portugal,dairy,205.04,292.06
Portugal,wheat,94.3,17.98
Portugal,rice,14.86,19.02
Portugal,soybeans,0.01,0.0
Portugal,nuts,3.91,6.92
Malta,pork,34.24,121.19
Malta,poultry,26.4,28.36
Malta,beef,19.22,593.09
Malta,lamb_goat,1.19,41.67
Malta,fish,24.58,39.25
Malta,eggs,11.64,10.69
Malta,dairy,190.06,270.72
Malta,wheat,139.58,26.62
Malta,rice,4.96,6.35
Malta,soybeans,0.05,0.02
Malta,nuts,5.62,9.95
Armenia,pork,9.67,34.23
Armenia,poultry,13.35,14.34
Armenia,beef,19.66,606.67
Armenia,lamb_goat,3.02,105.76
Armenia,fish,4.36,6.96
Armenia,eggs,11.69,10.74
Armenia,dairy,209.03,297.74
Armenia,wheat,130.6,24.91
Armenia,rice,3.18,4.07
Armenia,soybeans,0.0,0.0
Armenia,nuts,2.55,4.51
Slovenia,pork,28.19,99.78
Slovenia,poultry,23.46,25.2
Slovenia,beef,18.43,568.71
Slovenia,lamb_goat,0.79,27.67
Slovenia,fish,7.76,12.39
Slovenia,eggs,9.36,8.6
Slovenia,dairy,235.01,334.75
Slovenia,wheat,103.43,19.72
Slovenia,rice,3.95,5.05
Slovenia,soybeans,0.75,0.34
Slovenia,nuts,5.28,9.35
Chile,pork,24.68,87.35
Chile,poultry,36.52,39.23
Chile,beef,23.86,736.27
Chile,lamb_goat,0.42,14.71
Chile,fish,7.65,12.21
Chile,eggs,9.97,9.16
Chile,dairy,116.11,165.39
Chile,wheat,104.74,19.97
Chile,rice,8.85,11.33
Chile,soybeans,0.04,0.02
Chile,nuts,2.22,3.93
