country,food_category,consumption,co2_emission
Macedonia,eggs,6.38,5.86
Macedonia,dairy,157.93,224.96
Macedonia,wheat,104.8,19.99
Macedonia,rice,2.81,3.6
Macedonia,soybeans,0.46,0.21
Macedonia,nuts,5.87,10.39
Hungary,pork,34.93,123.63
Hungary,poultry,23.78,25.54
Hungary,beef,4.96,153.06
Hungary,lamb_goat,0.11,3.85
Hungary,fish,4.93,7.87
Hungary,eggs,12.45,11.44
Hungary,dairy,159.05,226.55
Hungary,wheat,109.98,20.97
Hungary,rice,2.15,2.75
Hungary,soybeans,0.01,0.0
Hungary,nuts,0.64,1.13
Trinidad and Tobago,pork,8.92,31.57
Trinidad and Tobago,poultry,58.27,62.59
Trinidad and Tobago,beef,6.13,189.16
Trinidad and Tobago,lamb_goat,2.79,97.71
Trinidad and Tobago,fish,20.54,32.8
Trinidad and Tobago,eggs,4.2,3.86
Trinidad and Tobago,dairy,103.8,147.85
Trinidad and Tobago,wheat,90.17,17.2
Trinidad and Tobago,rice,16.38,20.96
Trinidad and Tobago,soybeans,0.04,0.02
Trinidad and Tobago,nuts,3.78,6.69
Tunisia,pork,0.0,0.0
Tunisia,poultry,18.5,19.87
Tunisia,beef,5.53,170.64
Tunisia,lamb_goat,5.34,187.01
Tunisia,fish,12.63,20.17
Tunisia,eggs,7.67,7.05
Tunisia,dairy,114.47,163.05
Tunisia,wheat,197.5,37.66
Tunisia,rice,1.07,1.37
Tunisia,soybeans,1.88,0.85
Tunisia,nuts,6.34,11.22
Egypt,pork,0.02,0.07
Egypt,poultry,14.43,15.5
Egypt,beef,12.88,397.45
Egypt,lamb_goat,1.58,55.33
Egypt,fish,21.46,34.26
Egypt,eggs,4.59,4.22
Egypt,dairy,59.46,84.69
Egypt,wheat,146.83,28.0
Egypt,rice,39.77,50.89
Egypt,soybeans,0.64,0.29
Egypt,nuts,1.82,3.22
Mauritius,pork,4.08,14.44
Mauritius,poultry,38.51,41.37
Mauritius,beef,5.99,184.84
Mauritius,lamb_goat,4.08,142.88
Mauritius,fish,19.66,31.39
Mauritius,eggs,6.32,5.81
Mauritius,dairy,117.27,167.04
Mauritius,wheat,114.02,21.74
Mauritius,rice,45.56,58.3
Mauritius,soybeans,0.3,0.14
Mauritius,nuts,2.33,4.12
Bulgaria,pork,26.26,92.95
Bulgaria,poultry,20.68,22.21
Bulgaria,beef,3.84,118.49
Bulgaria,lamb_goat,1.63,57.08
Bulgaria,fish,6.24,9.96
Bulgaria,eggs,8.36,7.68
Bulgaria,dairy,155.71,221.79
Bulgaria,wheat,121.17,23.11
Bulgaria,rice,2.24,2.87
Bulgaria,soybeans,0.04,0.02
Bulgaria,nuts,2.26,4.0
Morocco,pork,0.01,0.04
Morocco,poultry,20.77,22.31
Morocco,beef,8.04,248.1
Morocco,lamb_goat,4.36,152.69
Morocco,fish,17.44,27.85
Morocco,eggs,6.68,6.14
Morocco,dairy,54.68,77.89
Morocco,wheat,179.7,34.27
Morocco,rice,1.1,1.41
Morocco,soybeans,0.0,0.0
Morocco,nuts,3.23,5.72
Slovakia,pork,31.78,112.49
Slovakia,poultry,15.13,16.25
Slovakia,beef,5.19,160.15
Slovakia,lamb_goat,0.16,5.6
Slovakia,fish,8.39,13.4
Slovakia,eggs,16.05,14.74
Slovakia,dairy,143.14,203.89
Slovakia,wheat,123.62,23.57
Slovakia,rice,2.88,3.69
Slovakia,soybeans,0.02,0.01
Slovakia,nuts,3.7,6.55
Niger,pork,0.09,0.32
Niger,poultry,1.08,1.16
Niger,beef,8.97,276.8
Niger,lamb_goat,4.17,146.03
Niger,fish,2.7,4.31
Niger,eggs,0.3,0.28
Niger,dairy,58.92,83.93
Niger,wheat,4.79,0.91
Niger,rice,13.17,16.85
Niger,soybeans,0.0,0.0
Niger,nuts,6.95,12.3
Kenya,pork,0.29,1.03
Kenya,poultry,0.47,0.5
Kenya,beef,9.54,294.38
Kenya,lamb_goat,1.86,65.14
Kenya,fish,4.27,6.82
Kenya,eggs,1.84,1.69
Kenya,dairy,94.86,135.12
Kenya,wheat,34.65,6.61
Kenya,rice,12.94,16.56
Kenya,soybeans,0.2,0.09
Kenya,nuts,1.64,2.9
Jordan,pork,0.02,0.07
Jordan,poultry,33.39,35.87
Jordan,beef,5.61,173.11
Jordan,lamb_goat,5.68,198.91
Jordan,fish,5.13,8.19
Jordan,eggs,3.92,3.6
Jordan,dairy,77.68,110.65
Jordan,wheat,136.74,26.08
Jordan,rice,19.67,25.17
Jordan,soybeans,0.02,0.01
Jordan,nuts,3.56,6.3
Japan,pork,20.62,72.98
Japan,poultry,19.42,20.86
Japan,beef,9.15,282.35
Japan,lamb_goat,0.14,4.9
Japan,fish,31.1,49.66
Japan,eggs,19.15,17.59
Japan,dairy,72.06,102.64
Japan,wheat,45.04,8.59
Japan,rice,59.85,76.59
Japan,soybeans,7.34,3.3
Japan,nuts,2.59,4.58
Georgia,pork,8.93,31.61
Georgia,poultry,12.28,13.19
Georgia,beef,6.04,186.38
Georgia,lamb_goat,0.63,22.06
Georgia,fish,10.42,16.64
Georgia,eggs,6.12,5.62
Georgia,dairy,149.26,212.61
Georgia,wheat,163.43,31.17
Georgia,rice,2.64,3.38
Georgia,soybeans,0.0,0.0
Georgia,nuts,2.47,4.37
Grenada,pork,11.52,40.78
Grenada,poultry,43.51,46.74
Grenada,beef,3.46,106.77
Grenada,lamb_goat,1.25,43.77
Grenada,fish,27.95,44.63
Grenada,eggs,10.34,9.5
Grenada,dairy,86.88,123.75
Grenada,wheat,59.59,11.36
Grenada,rice,9.56,12.23
Grenada,soybeans,0.01,0.0
Grenada,nuts,0.18,0.32
El Salvador,pork,3.23,11.43
El Salvador,poultry,19.84,21.31
El Salvador,beef,5.95,183.6
El Salvador,lamb_goat,0.02,0.7
El Salvador,fish,6.25,9.98
El Salvador,eggs,9.51,8.74
El Salvador,dairy,124.34,177.11
El Salvador,wheat,28.19,5.38
El Salvador,rice,10.53,13.48
El Salvador,soybeans,0.8,0.36
El Salvador,nuts,1.1,1.95
Cuba,pork,19.82,70.15
Cuba,poultry,20.15,21.65
Cuba,beef,6.39,197.18
Cuba,lamb_goat,1.24,43.42
Cuba,fish,4.76,7.6
Cuba,eggs,9.82,9.02
Cuba,dairy,99.94,142.35
Cuba,wheat,54.62,10.42
Cuba,rice,67.7,86.64
Cuba,soybeans,6.34,2.85
Cuba,nuts,0.23,0.41
China,pork,38.43,136.02
China,poultry,13.2,14.18
China,beef,5.12,157.99
China,lamb_goat,3.13,109.61
China,fish,21.01,33.55
China,eggs,18.76,17.23
China,dairy,32.66,46.52
China,wheat,63.36,12.08
China,rice,78.18,100.05
China,soybeans,3.66,1.65
China,nuts,6.39,11.31
Honduras,pork,6.48,22.94
Honduras,poultry,20.29,21.8
Honduras,beef,7.19,221.87
Honduras,lamb_goat,0.04,1.4
Honduras,fish,2.7,4.31
Honduras,eggs,5.19,4.77
Honduras,dairy,91.33,130.09
Honduras,wheat,37.36,7.12
Honduras,rice,14.42,18.45
Honduras,soybeans,0.01,0.0
Honduras,nuts,0.75,1.33
Taiwan. ROC,pork,39.37,139.35
Taiwan. ROC,poultry,32.13,34.51
Taiwan. ROC,beef,5.21,160.77
Taiwan. ROC,lamb_goat,0.92,32.22
Taiwan. ROC,fish,18.29,29.2
Taiwan. ROC,eggs,13.08,12.02
Taiwan. ROC,dairy,41.72,59.43
Taiwan. ROC,wheat,50.92,9.71
Taiwan. ROC,rice,45.85,58.67
Taiwan. ROC,soybeans,16.95,7.63
Taiwan. ROC,nuts,9.06,16.04
Angola,pork,8.89,31.47
Angola,poultry,17.33,18.62
Angola,beef,8.42,259.82
Angola,lamb_goat,1.08,37.82
Angola,fish,15.24,24.33
Angola,eggs,1.11,1.02
Angola,dairy,12.3,17.52
Angola,wheat,40.72,7.77
Angola,rice,8.12,10.39
Angola,soybeans,0.52,0.23
Angola,nuts,2.26,4.0
Jamaica,pork,3.99,14.12
Jamaica,poultry,52.51,56.41
Jamaica,beef,3.97,122.51
Jamaica,lamb_goat,1.26,44.13
Jamaica,fish,21.95,35.05
Jamaica,eggs,2.27,2.09
Jamaica,dairy,91.13,129.81
Jamaica,wheat,70.67,13.48
Jamaica,rice,23.45,30.01
Jamaica,soybeans,0.0,0.0
Jamaica,nuts,1.82,3.22
Namibia,pork,4.21,14.9
Namibia,poultry,12.19,13.09
Namibia,beef,3.75,115.72
Namibia,lamb_goat,2.27,79.5
Namibia,fish,10.7,17.08
Namibia,eggs,1.63,1.5
Namibia,dairy,73.05,104.05
Namibia,wheat,36.26,6.91
Namibia,rice,6.31,8.07
Namibia,soybeans,0.07,0.03
Namibia,nuts,0.71,1.26
Belize,pork,16.8,59.46
Belize,poultry,28.31,30.41
Belize,beef,4.86,149.97
Belize,lamb_goat,0.14,4.9
Belize,fish,7.57,12.09
Belize,eggs,4.85,4.46
Belize,dairy,80.3,114.38
Belize,wheat,54.06,10.31
Belize,rice,28.42,36.37
Belize,soybeans,1.88,0.85
Belize,nuts,5.58,9.88
Malaysia,pork,7.76,27.47
Malaysia,poultry,41.01,44.05
Malaysia,beef,6.52,201.19
Malaysia,lamb_goat,0.94,32.92
Malaysia,fish,49.43,78.92
Malaysia,eggs,16.57,15.22
Malaysia,dairy,25.28,36.01
Malaysia,wheat,51.04,9.73
Malaysia,rice,81.25,103.98
Malaysia,soybeans,0.04,0.02
Malaysia,nuts,2.9,5.13
Zimbabwe,pork,2.65,9.38
Zimbabwe,poultry,4.97,5.34
Zimbabwe,beef,7.37,227.42
Zimbabwe,lamb_goat,0.96,33.62
Zimbabwe,fish,2.8,4.47
Zimbabwe,eggs,1.75,1.61
Zimbabwe,dairy,31.9,45.44
Zimbabwe,wheat,31.31,5.97
Zimbabwe,rice,10.09,12.91
Zimbabwe,soybeans,0.54,0.24
Zimbabwe,nuts,2.22,3.93
Guatemala,pork,4.85,17.17
Guatemala,poultry,16.45,17.67
Guatemala,beef,5.6,172.8
Guatemala,lamb_goat,0.23,8.05
Guatemala,fish,1.08,1.72
Guatemala,eggs,14.61,13.42
Guatemala,dairy,46.6,66.38
Guatemala,wheat,35.9,6.85
Guatemala,rice,5.66,7.24
Guatemala,soybeans,0.32,0.14
Guatemala,nuts,2.0,3.54
Uganda,pork,3.37,11.93
Uganda,poultry,1.51,1.62
Uganda,beef,5.15,158.92
Uganda,lamb_goat,1.25,43.77
Uganda,fish,12.5,19.96
Uganda,eggs,0.97,0.89
Uganda,dairy,37.27,53.09
Uganda,wheat,10.14,1.93
Uganda,rice,4.64,5.94
Uganda,soybeans,0.01,0.0
Uganda,nuts,3.77,6.67
Nepal,pork,0.67,2.37
Nepal,poultry,1.56,1.68
Nepal,beef,7.89,243.47
Nepal,lamb_goat,2.1,73.54
Nepal,fish,2.17,3.46
Nepal,eggs,1.42,1.3
Nepal,dairy,52.1,74.21
Nepal,wheat,50.46,9.62
Nepal,rice,87.75,112.29
Nepal,soybeans,0.01,0.0
Nepal,nuts,2.42,4.28
Iran,pork,0.0,0.0
Iran,poultry,25.38,27.26
Iran,beef,3.58,110.47
Iran,lamb_goat,3.69,129.22
Iran,fish,9.8,15.65
Iran,eggs,7.7,7.07
Iran,dairy,46.69,66.51
Iran,wheat,153.31,29.24
Iran,rice,29.95,38.33
Iran,soybeans,0.0,0.0
Iran,nuts,12.16,21.52
Tanzania,pork,0.32,1.13
Tanzania,poultry,1.84,1.98
Tanzania,beef,6.09,187.92
Tanzania,lamb_goat,1.28,44.83
Tanzania,fish,5.5,8.78
Tanzania,eggs,0.58,0.53
Tanzania,dairy,40.29,57.39
Tanzania,wheat,15.94,3.04
Tanzania,rice,21.01,26.89
Tanzania,soybeans,0.04,0.02
Tanzania,nuts,5.94,10.51
Senegal,pork,0.94,3.33
Senegal,poultry,4.62,4.96
Senegal,beef,5.85,180.52
Senegal,lamb_goat,3.19,111.71
Senegal,fish,22.94,36.63
Senegal,eggs,1.63,1.5
Senegal,dairy,16.86,24.02
Senegal,wheat,37.32,7.12
Senegal,rice,72.29,92.51
Senegal,soybeans,0.0,0.0
Senegal,nuts,4.03,7.13
Peru,pork,3.85,13.63
Peru,poultry,11.72,12.59
Peru,beef,4.69,144.72
Peru,lamb_goat,1.0,35.02
Peru,fish,15.74,25.13
Peru,eggs,8.76,8.05
Peru,dairy,62.15,88.53
Peru,wheat,56.12,10.7
Peru,rice,48.92,62.6
Peru,soybeans,1.59,0.72
Peru,nuts,0.65,1.15
Nicaragua,pork,3.38,11.96
Nicaragua,poultry,21.31,22.89
Nicaragua,beef,4.73,145.96
Nicaragua,lamb_goat,0.01,0.35
Nicaragua,fish,3.59,5.73
Nicaragua,eggs,4.9,4.5
Nicaragua,dairy,85.16,121.3
Nicaragua,wheat,28.17,5.37
Nicaragua,rice,43.33,55.45
Nicaragua,soybeans,0.01,0.0
Nicaragua,nuts,2.36,4.18
Vietnam,pork,35.0,123.88
Vietnam,poultry,12.36,13.28
Vietnam,beef,7.44,229.58
Vietnam,lamb_goat,0.14,4.9
Vietnam,fish,26.52,42.34
Vietnam,eggs,3.84,3.53
Vietnam,dairy,16.36,23.3
Vietnam,wheat,10.49,2.0
Vietnam,rice,144.56,184.99
Vietnam,soybeans,5.75,2.59
Vietnam,nuts,6.28,11.12
Ethiopia,pork,0.02,0.07
Ethiopia,poultry,0.66,0.71
Ethiopia,beef,3.61,111.4
Ethiopia,lamb_goat,1.57,54.98
Ethiopia,fish,0.24,0.38
Ethiopia,eggs,0.36,0.33
Ethiopia,dairy,44.14,62.87
Ethiopia,wheat,31.26,5.96
Ethiopia,rice,2.25,2.88
Ethiopia,soybeans,0.45,0.2
Ethiopia,nuts,1.21,2.14
Myanmar,pork,11.31,40.03
Myanmar,poultry,21.87,23.49
Myanmar,beef,4.94,152.44
Myanmar,lamb_goat,0.89,31.17
Myanmar,fish,54.26,86.64
Myanmar,eggs,6.45,5.92
Myanmar,dairy,31.48,44.84
Myanmar,wheat,6.22,1.19
Myanmar,rice,132.8,169.94
Myanmar,soybeans,0.38,0.17
Myanmar,nuts,4.5,7.97
Congo,pork,2.39,8.46
Congo,poultry,13.02,13.99
Congo,beef,4.35,134.23
Congo,lamb_goat,0.4,14.01
Congo,fish,26.22,41.86
Congo,eggs,0.6,0.55
Congo,dairy,10.69,15.23
Congo,wheat,40.07,7.64
Congo,rice,16.51,21.13
Congo,soybeans,0.0,0.0
Congo,nuts,3.08,5.45
Zambia,pork,1.66,5.88
Zambia,poultry,3.29,3.53
Zambia,beef,4.76,146.88
Zambia,lamb_goat,0.68,23.81
Zambia,fish,6.2,9.9
Zambia,eggs,3.32,3.05
Zambia,dairy,9.71,13.83
Zambia,wheat,12.1,2.31
Zambia,rice,3.05,3.9
Zambia,soybeans,7.3,3.29
Zambia,nuts,5.04,8.92
Cameroon,pork,1.47,5.2
Cameroon,poultry,3.29,3.53
Cameroon,beef,4.17,128.68
Cameroon,lamb_goat,1.4,49.03
Cameroon,fish,14.71,23.49
Cameroon,eggs,0.4,0.37
Cameroon,dairy,15.27,21.75
Cameroon,wheat,22.6,4.31
Cameroon,rice,23.85,30.52
Cameroon,soybeans,0.64,0.29
Cameroon,nuts,9.29,16.44
Madagascar,pork,2.56,9.06
Madagascar,poultry,3.14,3.37
Madagascar,beef,7.51,231.74
Madagascar,lamb_goat,0.57,19.96
Madagascar,fish,4.41,7.04
Madagascar,eggs,0.71,0.65
