School Name,City,State,District Name,Model Selected,Award_Amount,Region
SHEFFIELD HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,376370,South
MANASSAS HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,269863,South
MOUNT PLEASANT HIGH SCHOOL,MT PLEASANT,TN,MAURY COUNTY SCHOOL DISTRICT,Transformation,736026,South
RALEIGH EGYPT MIDDLE SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,103092,South
KINGSBURY MIDDLE/HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,259513,South
AUSTIN EAST HIGH/MAGNET SCHOOL,KNOXVILLE,TN,KNOX COUNTY SCHOOL DISTRICT,Turnaround,905629,South
ODYSSEY ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
BLUFF SCHOOL,BLUFF,UT,SAN JUAN DISTRICT,Transformation,278779,West
JAMES MADISON ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
NORTHWEST MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,Transformation,806790,West
DEE SCHOOL,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
GLENDALE MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,Transformation,806790,West
GRANGER HIGH,WEST VALLEY CITY,UT,GRANITE DISTRICT,Transformation,710934,West
FRED D. THOMPSON MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Transformation,501500,South
LAKE TAYLOR MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,Transformation,135251,South
FRIES MIDDLE,FRIES,VA,GRAYSON CO PBLC SCHS,Transformation,500000,South
T.C. WILLIAMS HIGH,ALEXANDRIA,VA,ALEXANDRIA CITY PBLC SCHS,Transformation,10000,South
WESTSIDE ELEM.,ROANOKE,VA,ROANOKE CITY PBLC SCHS,Transformation,580100,South
PRINCE EDWARD COUNTY HIGH,FARMVILLE,VA,PRINCE EDWARD CO PBLC SCHS,Transformation,499586,South
CENTRAL HIGH,KING AND QUEEN C H,VA,KING AND QUEEN CO PBLC SCHS,Transformation,685661,South
LANGSTON FOCUS SCHOOL,DANVILLE,VA,DANVILLE CITY PBLC SCHS,Restart,946198,South
ARMSTRONG HIGH,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Restart,859600,South
PEABODY MIDDLE,PETERSBURG,VA,PETERSBURG CITY PBLC SCHS,Transformation,460723,South
NEW BRIDGE SCHOOL,RICHMOND,VA,HENRICO CO PBLC SCHS,Closure,50000,South
COLONIAL BEACH HIGH,COLONIAL BEACH,VA,COLONIAL BEACH PBLC SCHS,Transformation,571500,South
ELLEN W. CHAMBLISS ELEM.,WAKEFIELD,VA,SUSSEX CO PBLC SCHS,Restart,400000,South
THOMAS C. BOUSHALL MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Restart,613340,South
RUFFNER MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,Transformation,135542,South
VA. RANDOLPH COMM. HIGH,GLEN ALLEN,VA,HENRICO CO PBLC SCHS,Closure,50000,South
JAMES S. RUSSELL MIDDLE,LAWRENCEVILLE,VA,BRUNSWICK CO PBLC SCHS,Transformation,490820,South
SUSSEX CENTRAL MIDDLE,SUSSEX,VA,SUSSEX CO PBLC SCHS,Restart,529167,South
MOUNT ABRAHAM UHSD #28,BRISTOL,VT,MOUNT ABRAHAM UHSD #28,Transformation,230110,Northeast
NORTHFIELD ELEMENTARY SCHOOL,NORTHFIELD,VT,NORTHFIELD SCHOOL DISTRICT,Transformation,215600,Northeast
H. O. WHEELER SCHOOL,BURLINGTON,VT,BURLINGTON SCHOOL DISTRICT,Transformation,368200,Northeast
LAMOILLE UHSD #18,HYDE PARK,VT,LAMOILLE UHSD #18,Transformation,242458,Northeast
WINOOSKI HIGH SCHOOL,WINOOSKI,VT,WINOOSKI SCHOOL DISTRICT,Transformation,166477,Northeast
ST. JOHNSBURY SCHOOL,ST JOHNSBURY,VT,SAINT JOHNSBURY SCHOOL DISTRICT,Transformation,380045,Northeast
JOHNSON ELEMENTARY SCHOOL,JOHNSON,VT,JOHNSON SCHOOL DISTRICT,Transformation,192559,Northeast
WINDSOR HIGH SCHOOL,WINDSOR,VT,WINDSOR SCHOOL DISTRICT,Transformation,257889,Northeast
RUTLAND SENIOR HIGH SCHOOL,RUTLAND,VT,RUTLAND CITY SCHOOL DISTRICT,Transformation,382364,Northeast
FAIR HAVEN UHSD #16,FAIR HAVEN,VT,FAIR HAVEN UHSD #16,Transformation,314781,Northeast
STEWART,TACOMA,WA,TACOMA SCHOOL DISTRICT,Turnaround,152512,West
SUNNYSIDE HIGH SCHOOL,SUNNYSIDE,WA,SUNNYSIDE SCHOOL DISTRICT,Transformation,162541,West
TULALIP ELEMENTARY,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,Turnaround,734480,West
CASCADE MIDDLE SCHOOL,SEATTLE,WA,HIGHLINE SCHOOL DISTRICT,Transformation,730000,West
ADAMS ELEMENTARY SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,116293,West
HAWTHORNE ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,533531,West
MARYSVILLE MIDDLE SCHOOL,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,Transformation,109526,West
GRANDVIEW MIDDLE SCHOOL,GRANDVIEW,WA,GRANDVIEW SCHOOL DISTRICT,Transformation,10000,West
WELLPINIT ELEMENTARY SCHOOL,WELLPINIT,WA,WELLPINIT SCHOOL DISTRICT,Transformation,178996,West
JASON LEE,TACOMA,WA,TACOMA SCHOOL DISTRICT,Transformation,100573,West
HIGH POINT ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,452925,West
MONTICELLO MIDDLE SCHOOL,LONGVIEW,WA,LONGVIEW SCHOOL DISTRICT,Transformation,515546,West
STANTON ALTERNATIVE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,945312,West
ANGELO GIAUDRONE MIDDLE SCHOOL,TACOMA,WA,TACOMA SCHOOL DISTRICT,Turnaround,138656,West
HUNT,TACOMA,WA,TACOMA SCHOOL DISTRICT,Closure,95320,West
CLEVELAND HIGH SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,756677,West
CHINOOK MIDDLE SCHOOL,SEATAC,WA,HIGHLINE SCHOOL DISTRICT,Transformation,730000,West
WASHINGTON MIDDLE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,115268,West
FOSTER & WILLIAMS HIGH SCHOOL OF THE VISUAL ARTS,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
DUBOIS HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
CUSTER HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Restart,650093,Midwest
JAMES MADISON ACADEMIC CAMPUS,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,749320,Midwest
VINCENT HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,928024,Midwest
BAY VIEW HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,134909,Midwest
DOWNTOWN INSTITUTE OF ARTS & LETTERS (DIAL),MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
SOUTH DIVISION HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,124643,Midwest
MILWAUKEE AFRICAN AMERICAN IMMERSION HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Restart,567905,Midwest
WHS LAW EDUCATION & PUBLIC SERVICE,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
BRADLEY TECHNOLOGY HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Transformation,10000,Midwest
HAMLIN PK-8,HAMLIN,WV,LINCOLN COUNTY SCHOOLS,Transformation,258600,South
RIVERSIDE HIGH SCHOOL,BELLE,WV,KANAWHA COUNTY SCHOOLS,Transformation,481900,South
DODDRIDGE COUNTY ELEMENTARY SCHOOL,WEST UNION,WV,DODDRIDGE COUNTY SCHOOLS,Transformation,464200,South
MOUNT VIEW HIGH SCHOOL,WELCH,WV,MCDOWELL COUNTY SCHOOLS,Transformation,450000,South
WEST HAMLIN ELEMENTARY,WEST HAMLIN,WV,LINCOLN COUNTY SCHOOLS,Transformation,156660,South
MALDEN ELEMENTARY SCHOOL,CHARLESTON,WV,KANAWHA COUNTY SCHOOLS,Transformation,217598,South
MARTINSBURG NORTH MIDDLE SCHOOL,MARTINSBURG,WV,BERKELEY COUNTY SCHOOLS,Transformation,461690,South
SANDY RIVER MIDDLE SCHOOL,AVONDALE,WV,MCDOWELL COUNTY SCHOOLS,Transformation,370000,South
STONEWALL JACKSON MIDDLE SCHOOL,CHARLESTON,WV,KANAWHA COUNTY SCHOOLS,Transformation,241211,South
EAST BANK MIDDLE SCHOOL,EAST BANK,WV,KANAWHA COUNTY SCHOOLS,Transformation,314618,South
FRANKLIN ELEMENTARY CENTER,PARKERSBURG,WV,WOOD COUNTY SCHOOLS,Transformation,389906,South
GUYAN VALLEY MIDDLE,BRANCHLAND,WV,LINCOLN COUNTY SCHOOLS,Transformation,341250,South
CEDAR GROVE MIDDLE SCHOOL,CEDAR GROVE,WV,KANAWHA COUNTY SCHOOLS,Transformation,211271,South
MOUNT HOPE HIGH SCHOOL,MOUNT HOPE,WV,FAYETTE COUNTY SCHOOLS,Transformation,342189,South
GEARY ELEMENTARY SCHOOL,LEFT HAND,WV,ROANE COUNTY SCHOOLS,Transformation,260000,South
TRIUMPH HIGH SCHOOL,CHEYENNE,WY,LARAMIE COUNTY SCHOOL DISTRICT #1,Transformation,297300,West
HEM JUNIOR/SENIOR HIGH SCHOOL,HANNA,WY,CARBON COUNTY SCHOOL DISTRICT #2,Transformation,274000,West
ROOSEVELT HIGH SCHOOL,CASPER,WY,NATRONA COUNTY SCHOOL DISTRICT #1,Transformation,431382,West
