STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,n21020,a21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
50,VT,05001,5,450,70,370,0,230,1200,380,0,0,0,0,0,30,150,58800,450,59651,400,43912,260,411,160,1305,140,1018,180,170,100,1783,130,1520,80,1784,120,4391,0,0,0,100,2207,50,1539,230,851,30,8,0,0,50,422,20,108,110,116,0,0,0,0,340,7647,46313,20,277,340,1972,0,0,330,2182,40,30,340,4195,280,1894,0,0,0,0,0,0,0,0,260,868,50,441,0,0,450,45004,450,7582,0,0,0,0,230,334,60,12,60,32,50,85,0,0,100,123,40,31,90,314,0,0,0,0,0,0,450,8430,0,0,0,0,0,0,50,49,0,0,440,7249,450,7631,0,0,0,0,130,615,290,1262
50,VT,05001,6,80,0,70,0,60,200,50,0,0,0,0,0,0,40,25767,80,26212,70,13692,60,116,50,1020,50,811,30,45,30,1041,50,2983,20,975,20,1109,0,0,0,20,673,30,3226,30,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,3979,24808,0,0,80,1837,0,0,80,826,0,0,80,2692,60,419,0,0,0,0,0,0,0,0,70,549,0,0,0,0,80,21111,80,5269,60,580,0,0,40,74,30,12,0,0,0,0,0,0,0,0,0,0,20,139,0,0,0,0,0,0,80,5439,0,0,0,0,0,0,0,0,0,0,80,5040,80,5314,30,21,40,104,40,607,30,455
50,VT,05031,1,80,60,30,0,40,90,0,0,0,0,0,0,0,50,922,80,975,50,654,40,29,0,0,0,0,0,0,40,378,0,0,0,0,0,0,0,0,0,0,0,0,0,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,20,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,225,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,96,30,40,0,0,0,0,0,0,0,0,30,23,40,53,0,0,0,0,0,0,40,62
50,VT,05031,2,50,30,0,0,30,90,60,0,0,0,0,0,0,0,1858,50,1989,40,1247,0,0,40,108,40,59,0,0,0,0,40,15,40,575,30,603,0,0,0,0,0,0,0,40,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,0,0,0,0,40,942,40,119,0,0,0,0,40,35,0,0,0,0,0,0,0,0,20,27,0,0,50,114,0,0,0,0,0,0,50,228,0,0,0,0,0,0,0,0,0,0,30,104,40,141,0,0,0,0,40,61,30,108
50,VT,05031,3,50,20,30,0,30,90,0,0,0,0,0,0,0,20,3100,50,3100,40,2154,20,7,0,0,0,0,30,18,20,200,0,0,0,0,0,0,0,0,0,50,723,30,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,836,1564,0,0,0,0,0,0,40,170,0,0,20,217,30,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2034,40,281,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,358,0,0,0,0,0,0,0,0,0,0,40,262,40,299,0,0,0,0,0,0,50,146
50,VT,05031,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05031,5,50,0,40,0,30,120,40,0,0,0,0,0,0,20,10085,50,10376,30,3372,40,83,30,716,30,580,0,0,0,0,30,1145,0,0,0,0,0,0,0,0,0,0,0,20,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1634,8973,0,0,40,512,0,0,40,444,0,0,40,1046,20,239,0,0,0,0,0,0,0,0,30,149,0,0,0,0,50,7284,50,1543,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1934,0,0,0,0,0,0,0,0,0,0,40,1485,40,1630,0,0,0,0,20,196,0,0
50,VT,05031,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05032,1,410,300,60,50,190,510,110,30,30,0,0,0,40,130,4896,410,4965,280,3217,90,37,50,81,50,54,0,0,80,509,60,146,50,300,70,537,0,0,0,30,38,0,0,90,69,0,0,0,0,0,0,0,0,20,14,0,0,0,0,30,410,399,30,218,0,0,0,0,30,111,0,0,30,137,0,0,0,0,0,0,0,0,0,0,0,0,30,88,0,0,180,1065,180,110,0,0,0,0,40,10,20,0,0,0,0,0,0,0,0,0,0,0,70,85,0,0,0,0,0,0,350,635,120,223,90,180,50,54,0,0,0,0,160,100,220,195,0,0,0,0,50,47,310,484
50,VT,05032,2,330,210,90,30,150,540,120,0,0,0,0,0,50,70,12218,330,12369,300,10208,80,29,30,80,30,62,40,11,40,533,0,0,30,259,40,616,0,50,144,60,381,0,0,90,151,20,5,0,0,0,0,0,0,40,40,0,0,0,0,50,646,1881,0,0,50,60,0,0,40,170,0,0,50,232,50,252,0,0,0,0,30,31,0,0,40,70,0,0,0,0,330,7004,330,884,0,0,30,27,100,69,0,0,0,0,0,0,80,11,60,48,0,0,40,90,40,129,50,165,40,27,330,1472,50,99,40,75,40,71,0,0,0,0,300,816,310,927,0,0,0,0,50,71,280,611
